time,open,high,low,close,volume,rsi,stoch_k,stoch_d,buy,sell
2026-05-02 15:00:00,2299.46,2306.35,2297.09,2305.58,2532.1671,58.829511652745225,,,0,0
2026-05-02 16:00:00,2305.59,2306.16,2301.01,2301.02,2421.6891,54.94595646575629,,,0,0
2026-05-02 17:00:00,2301.01,2304.44,2299.05,2303.35,1949.3397,56.52519468324493,,,0,0
2026-05-02 18:00:00,2303.34,2307.78,2303.34,2305.13,2145.8369,57.74377274495065,,,0,0
2026-05-02 19:00:00,2305.13,2305.96,2302.41,2303.54,2130.6777,56.22767350833007,,,0,0
2026-05-02 20:00:00,2303.54,2304.99,2300.25,2302.1,2172.6055,54.8237568811247,,,0,0
2026-05-02 21:00:00,2302.09,2305.92,2301.36,2303.52,2299.2395,55.99069087065531,,,0,0
2026-05-02 22:00:00,2303.53,2311.83,2303.53,2308.08,4502.6289,59.59965399193902,,,0,0
2026-05-02 23:00:00,2308.08,2308.59,2305.23,2306.69,2719.9575,58.037298974022974,,,0,0
2026-05-03 00:00:00,2306.69,2310.1,2305.32,2309.19,2150.0351,60.06498066183123,,,0,0
2026-05-03 01:00:00,2309.18,2313.98,2307.96,2309.31,3799.9258,60.164482871277386,,,0,0
2026-05-03 02:00:00,2309.31,2310.25,2305.69,2305.9,1534.3477,55.90198777381505,,,0,0
2026-05-03 03:00:00,2305.9,2311.57,2304.08,2310.3,3982.2935,59.854254219905705,,,0,0
2026-05-03 04:00:00,2310.31,2312.79,2309.17,2311.08,1676.5247,60.52959869811417,,,0,0
2026-05-03 05:00:00,2311.08,2311.84,2309.59,2311.58,1484.9442,60.982708055824375,,,0,0
2026-05-03 06:00:00,2311.59,2343.6,2310.79,2325.62,17150.5457,71.03709157935063,,,0,0
2026-05-03 07:00:00,2325.62,2328.36,2317.88,2327,8792.7486,71.8061328297095,,,0,0
2026-05-03 08:00:00,2326.99,2326.99,2313.98,2316.97,6039.0954,59.45039372318167,,,0,0
2026-05-03 09:00:00,2316.97,2317.69,2308.9,2313.98,5842.4001,56.33821035743808,,,0,0
2026-05-03 10:00:00,2313.98,2314.09,2303.43,2304.14,4580.8688,47.52145543940986,,,0,0
2026-05-03 11:00:00,2304.14,2306.83,2299.38,2303.41,4664.487,46.934626486621035,,,0,0
2026-05-03 12:00:00,2303.41,2304,2300,2301.9,4381.1239,45.678108578735014,,,0,0
2026-05-03 13:00:00,2301.9,2304.37,2297.59,2301.53,3019.3837,45.35767680135584,,,0,0
2026-05-03 14:00:00,2301.53,2305.56,2301.26,2304.11,1981.3304,48.09208720564312,,,0,0
2026-05-03 15:00:00,2304.11,2306.38,2299.69,2304.49,2420.7056,48.50086103557128,,,0,0
2026-05-03 16:00:00,2304.5,2314.01,2304.42,2309.28,3800.1125,53.47453011060472,,,0,0
2026-05-03 17:00:00,2309.28,2312.67,2307.65,2308.28,1870.384,52.33809664897053,,,0,0
2026-05-03 18:00:00,2308.29,2322.27,2307.49,2316.47,5985.3931,59.86168109676457,,,0,0
2026-05-03 19:00:00,2316.48,2316.73,2311.32,2311.54,2373.362,54.30470442659731,,,0,0
2026-05-03 20:00:00,2311.54,2327.5,2310.52,2319.63,7325.9867,60.74455582488466,,,0,0
2026-05-03 21:00:00,2319.63,2332.61,2319.63,2325.71,9087.0596,64.76370672479594,,,0,0
2026-05-03 22:00:00,2325.71,2328.74,2320.61,2322.21,3616.5298,60.89835409577228,,,0,0
2026-05-03 23:00:00,2322.22,2329.6,2321.19,2328.28,4002.7223,64.81992046563508,,,0,0
2026-05-04 00:00:00,2328.28,2333.91,2324.96,2328.44,4767.7814,64.91979221636944,,,0,0
2026-05-04 01:00:00,2328.45,2335,2322.38,2328.41,5781.0315,64.88259931643128,,,0,0
2026-05-04 02:00:00,2328.4,2335.35,2324.11,2331.85,5608.7603,67.20287988086872,,,0,0
2026-05-04 03:00:00,2331.85,2333.6,2328.29,2330.98,2263.6905,66.01490935940802,,,0,0
2026-05-04 04:00:00,2330.98,2337.87,2328.47,2335.59,5542.6512,69.12902334576899,,,0,0
2026-05-04 05:00:00,2335.6,2344.35,2328.28,2329.58,14443.5923,61.24938902137082,,,0,0
2026-05-04 06:00:00,2329.58,2334.18,2315,2324.27,8154.991,55.256530972104315,,,0,0
2026-05-04 07:00:00,2324.27,2356.92,2324.26,2343.89,25346.8292,67.79500389209902,,,0,0
2026-05-04 08:00:00,2343.89,2347.47,2319.96,2322.65,14213.2573,51.10030244092365,,,0,0
2026-05-04 09:00:00,2322.65,2322.65,2309.24,2319,12348.5699,48.87303037244889,,,0,0
2026-05-04 10:00:00,2319,2354.02,2312.98,2351.2,17681.8973,63.8446811087329,,,0,0
2026-05-04 11:00:00,2351.21,2387.99,2345.41,2374.73,52188.8767,70.61610165201526,,,0,0
2026-05-04 12:00:00,2374.73,2391,2371.74,2385.12,32108.6526,73.01904337315037,,,0,0
2026-05-04 13:00:00,2385.11,2398.93,2384.37,2390.12,21582.9297,74.11603610588375,,,0,0
2026-05-04 14:00:00,2390.12,2391.28,2375.26,2376.19,17415.0891,66.05786085900007,,,0,0
2026-05-04 15:00:00,2376.19,2378.42,2354.2,2368.41,20127.1919,62.003224035327385,,,0,0
2026-05-04 16:00:00,2368.41,2373.87,2362.51,2362.8,10295.3082,59.18232572985806,,,0,0
2026-05-04 17:00:00,2362.79,2365.11,2357.3,2360.04,9858.6313,57.78932393679713,,,0,0
2026-05-04 18:00:00,2360.04,2371.09,2358.04,2368.71,8607.635,60.90249768973251,,,0,0
2026-05-04 19:00:00,2368.72,2369.89,2314.25,2338.36,57424.2763,47.65309150540988,,,0,0
2026-05-04 20:00:00,2338.35,2343.62,2332.91,2337.59,9840.4895,47.37151571988266,,,0,0
2026-05-04 21:00:00,2337.59,2343.78,2333.04,2335.53,7733.1819,46.5785554689206,,,0,0
2026-05-04 22:00:00,2335.53,2344.53,2325.71,2336.53,17747.9741,47.04198456991041,,,0,0
2026-05-04 23:00:00,2336.53,2381.8,2327.47,2371.39,36557.2285,60.051931535025716,,,0,0
2026-05-05 00:00:00,2371.4,2374.38,2336.01,2350.1,41176.8086,51.69866871035662,,,0,0
2026-05-05 01:00:00,2350.11,2365,2336.63,2355.28,23191.6495,53.397224173862234,,,0,0
2026-05-05 02:00:00,2355.27,2379.52,2353.84,2370.09,18853.8244,57.950192468525195,,,0,0
2026-05-05 03:00:00,2370.1,2374.86,2357.02,2361.41,12397.3782,54.58430220170436,,,0,0
2026-05-05 04:00:00,2361.42,2364.35,2353.52,2356.52,7858.5921,52.72630016585552,,,0,0
2026-05-05 05:00:00,2356.52,2359.12,2347.77,2350.15,5105.1774,50.32325251718358,,,0,0
2026-05-05 06:00:00,2350.14,2364.59,2350.14,2360.89,3844.6345,54.11997022659704,,,0,0
2026-05-05 07:00:00,2360.89,2365.91,2353.95,2354.58,5172.5417,51.62357692328126,,,0,0
2026-05-05 08:00:00,2354.58,2354.58,2344.83,2347.16,3902.2601,48.77447929645114,,,0,0
2026-05-05 09:00:00,2347.17,2359,2344.93,2358.83,4815.8322,53.153601646487814,,,0,0
2026-05-05 10:00:00,2358.83,2364.49,2355.1,2361.82,4711.3265,54.233136974059605,,,0,0
2026-05-05 11:00:00,2361.81,2377.8,2359.1,2367.72,10448.2131,56.369693665881,,,0,0
2026-05-05 12:00:00,2367.72,2389.38,2364.71,2382.43,23394.2819,61.22941109145811,,,0,0
2026-05-05 13:00:00,2382.43,2386,2376.04,2381.11,9427.6093,60.577363842190785,,,0,0
2026-05-05 14:00:00,2381.1,2390.74,2376.88,2380.19,13610.8116,60.09699994814436,,,0,0
2026-05-05 15:00:00,2380.19,2381.51,2367.35,2378.85,12310.887,59.35867786206564,,,0,0
2026-05-05 16:00:00,2378.84,2388.56,2375.81,2380.59,13689.6326,60.045101503048784,,,0,0
2026-05-05 17:00:00,2380.59,2384.62,2373,2376.81,7058.716,57.762664204857984,,,0,0
2026-05-05 18:00:00,2376.82,2376.96,2366.76,2369.6,6990.9907,53.579114328721964,,,0,0
2026-05-05 19:00:00,2369.6,2379.34,2367.3,2378.41,7091.045,57.61836468614989,,,0,0
2026-05-05 20:00:00,2378.42,2383.49,2372.95,2379.89,8240.2018,58.27519346329984,,,0,0
2026-05-05 21:00:00,2379.89,2390.47,2376.34,2388.52,11730.3656,61.97576427603499,,,0,0
2026-05-05 22:00:00,2388.52,2399.5,2383.5,2388.72,26443.457,62.05974478815585,,,0,0
2026-05-05 23:00:00,2388.71,2392.36,2369.17,2378.78,27223.1659,55.49912008650962,,,0,0
2026-05-06 00:00:00,2378.78,2387.93,2375.5,2381.31,13411.5215,56.75231015220247,,,0,0
2026-05-06 01:00:00,2381.3,2383.38,2361,2365.94,17932.1444,47.9229382097901,,,0,0
2026-05-06 02:00:00,2365.94,2369.92,2359.71,2362.8,9807.3024,46.336899783891425,,,0,0
2026-05-06 03:00:00,2362.81,2374.78,2362.81,2372.28,8710.1909,51.55033974346329,,,0,0
2026-05-06 04:00:00,2372.28,2376.73,2369.33,2371.94,4461.6351,51.357627709498466,,,0,0
2026-05-06 05:00:00,2371.94,2387,2371.21,2382.41,11866.1153,56.7228575159036,,,0,0
2026-05-06 06:00:00,2382.41,2388.54,2368.9,2375.43,9166.3706,52.560614443215975,,,0,0
2026-05-06 07:00:00,2375.43,2381.68,2354.34,2367.51,14184.5371,48.23556432603048,,,0,0
2026-05-06 08:00:00,2367.51,2369.75,2355,2360.77,9910.3777,44.85303229437938,,,0,0
2026-05-06 09:00:00,2360.76,2367.72,2355,2364.63,9670.6129,47.139262021882466,,,0,0
2026-05-06 10:00:00,2364.63,2376.99,2362.75,2373.19,8948.2743,51.901398349289494,,,0,0
2026-05-06 11:00:00,2373.2,2373.7,2360,2369.75,6539.2128,49.95376937082814,,,0,0
2026-05-06 12:00:00,2369.75,2380.87,2368.08,2376.8,7896.7032,53.781638421828205,,,0,0
2026-05-06 13:00:00,2376.81,2379.4,2361.25,2366.08,7910.6015,47.795300266687384,,,0,0
2026-05-06 14:00:00,2366.08,2366.99,2355,2365.03,11450.5782,47.24064614680354,,,0,0
2026-05-06 15:00:00,2365.03,2371.29,2361,2370.52,6311.3267,50.476690302986945,,,0,0
2026-05-06 16:00:00,2370.53,2375,2368.57,2371.74,7842.1661,51.19311123211578,,,0,0
2026-05-06 17:00:00,2371.74,2396.19,2369.16,2394.33,18454.838,62.1202564939057,,,0,0
2026-05-06 18:00:00,2394.32,2418.39,2384.8,2412.76,47718.3765,68.34667989614856,,,0,0
2026-05-06 19:00:00,2412.77,2414.43,2405.18,2410.2,17192.8972,66.70647197270468,,,0,0
2026-05-06 20:00:00,2410.2,2423.74,2408.34,2410.47,30434.9349,66.79697593754068,,,0,0
2026-05-06 21:00:00,2410.47,2413.59,2400.55,2405.11,22282.1291,63.12823422626245,,,0,0
2026-05-06 22:00:00,2405.11,2405.11,2365.01,2368.51,42551.5633,44.96670600158112,,,0,0
2026-05-06 23:00:00,2368.52,2373.29,2346.68,2359.23,51777.3181,41.691575360683345,,,0,0
2026-05-07 00:00:00,2359.23,2366,2354.98,2359.1,20851.531,41.645815048479356,,,0,0
2026-05-07 01:00:00,2359.1,2367.47,2350.56,2358.08,19002.5503,41.26312751226747,,,0,0
2026-05-07 02:00:00,2358.09,2360.99,2347.71,2349.7,13561.1973,38.16059316086566,,,0,0
2026-05-07 03:00:00,2349.71,2352.55,2338,2345,18017.0774,36.50284084123261,,,0,0
2026-05-07 04:00:00,2345,2350,2342.14,2348.5,9241.8552,38.64051307805794,,,0,0
2026-05-07 05:00:00,2348.49,2357.04,2345.23,2350.94,13484.2191,40.153149613824326,,,0,0
2026-05-07 06:00:00,2350.94,2357.45,2345.83,2354.52,10416.7586,42.39691027287185,,,0,0
2026-05-07 07:00:00,2354.52,2355.05,2344.99,2347.28,8076.5331,39.19638359306784,,,0,0
2026-05-07 08:00:00,2347.28,2351.34,2338.28,2350.84,11034.0613,41.53355232087593,,,0,0
2026-05-07 09:00:00,2350.84,2352.3,2329.05,2329.65,13622.3234,33.32303005652743,,,0,0
